year,Base case cost,American creek
2021,139188.475305,7935308.96717
2022,142398.27243,7766642.40041
2023,144732.670338,7603272.30575
2024,147203.184743,7444557.14337
2025,149544.388477,7288580.53307
2026,152620.621289,7136121.27757
2027,154968.630847,6987195.95817
2028,157183.926822,6843100.19293
2029,160295.039487,6700874.43908
2030,162703.45074,6564314.15858
2031,166147.198092,6428046.27946
2032,169124.746445,6294403.48612
2033,171804.539963,6164263.45166
2034,174782.088316,6036587.56943
2035,176866.372163,5913242.45131
2036,179843.920516,5791257.05904
2037,182668.337811,5674990.87592
2038,186190.352148,5558976.82292
2039,188592.808305,5446024.99633
2040,192439.800777,5334729.71031
2041,192439.800777,5230683.05486
2042,192439.800777,5129074.99283
2043,192983.416033,5030391.98543
2044,193527.03129,4934034.60163
2045,194070.646546,4839948.33536
2046,194614.261802,4748079.95681
2047,194614.261802,4657833.86934
2048,195157.877059,4570246.5398
2049,195701.492315,4484724.77847
2050,195701.492315,4400676.55973
2051,195701.492315,4318598.22123
2052,195701.492315,4238443.59374
2053,195701.492315,4160167.59062
2054,195701.492315,4083726.18067
2055,195701.492315,4009076.36652
2056,195701.492315,3936176.15746
2057,195701.492315,3864984.54713
2058,195701.492315,3795461.48989
2059,195701.492315,3727567.87986
2060,195701.492315,3661265.52587
2061,195701.492315,3596517.13334
2062,195701.492315,3533286.28129
2063,195701.492315,3471537.40215
2064,195701.492315,3411235.76292
2065,195701.492315,3352347.44291
2066,195701.492315,3294839.31771
2067,195701.492315,3238679.03966
2068,195701.492315,3183835.01768
2069,195701.492315,3130276.40261
2070,195701.492315,3077973.06772
