year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,53365.0,39458.8027683
2018,53365.0,39458.8027683
2019,53365.0,39458.8027683
2020,53365.0,39458.8027683
2021,53365.0,39458.8027683
2022,53365.0,39458.8027683
2023,53365.0,39458.8027683
2024,53365.0,39458.8027683
2025,53365.0,39458.8027683
2026,53365.0,39458.8027683
2027,53365.0,39458.8027683
2028,53365.0,39458.8027683
2029,53365.0,39458.8027683
2030,53365.0,39458.8027683
2031,53365.0,39458.8027683
2032,,
2033,,
2034,,
2035,,
2036,,
