year,Base case diesel consumed,American creek
2021,29179.9738585,0.0
2022,29179.9738585,0.0
2023,29179.9738585,0.0
2024,29265.0466686,85.0728100832
2025,29265.0466686,85.0728100832
2026,29350.1194787,170.145620166
2027,29350.1194787,170.145620166
2028,29435.1922888,255.218430249
2029,29520.2650989,340.291240333
2030,29690.410719,510.436860499
2031,29775.4835291,595.509670582
2032,29775.4835291,595.509670582
2033,29775.4835291,595.509670582
2034,29775.4835291,595.509670582
2035,29775.4835291,595.509670582
2036,29775.4835291,595.509670582
2037,29945.6291493,765.655290748
2038,30030.7019594,850.728100832
2039,30030.7019594,850.728100832
2040,30115.7747694,935.800910915
2041,30115.7747694,935.800910915
2042,30115.7747694,935.800910915
2043,30200.8475795,1020.873721
2044,30285.9203896,1105.94653108
2045,30370.9931997,1191.01934116
2046,30456.0660098,1276.09215125
2047,30456.0660098,1276.09215125
2048,30541.1388199,1361.16496133
2049,30626.2116299,1446.23777141
2050,30626.2116299,1446.23777141
2051,30626.2116299,1446.23777141
2052,30626.2116299,1446.23777141
2053,30626.2116299,1446.23777141
2054,30626.2116299,1446.23777141
2055,30626.2116299,1446.23777141
2056,30626.2116299,1446.23777141
2057,30626.2116299,1446.23777141
2058,30626.2116299,1446.23777141
2059,30626.2116299,1446.23777141
2060,30626.2116299,1446.23777141
2061,30626.2116299,1446.23777141
2062,30626.2116299,1446.23777141
2063,30626.2116299,1446.23777141
2064,30626.2116299,1446.23777141
2065,30626.2116299,1446.23777141
2066,30626.2116299,1446.23777141
2067,30626.2116299,1446.23777141
2068,30626.2116299,1446.23777141
2069,30626.2116299,1446.23777141
2070,30626.2116299,1446.23777141
