year,Base case cost,Modeled biomass for heat (cordwood)
2017,258043.955717,300457.418168
2018,276721.705717,313534.531739
2019,302336.905717,331758.480311
2020,314610.855717,340134.515927
2021,322615.605717,345370.241598
2022,328485.755717,349043.625189
2023,332754.955717,351548.879496
2024,336490.505717,353674.814133
2025,340759.705717,356210.247302
2026,345562.555717,359154.829536
2027,349831.755717,361719.043513
2028,353033.655717,363507.967925
2029,357836.505717,366494.217441
2030,360504.755717,367915.35804
2031,365841.255717,371322.371575
2032,,
2033,,
2034,,
2035,,
2036,,
