year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,5518.04,225772.0,225772.0
2004,,5518.04,219306.0,219306.0
2005,,5518.04,219052.0,219052.0
2006,,5518.04,224301.0,224301.0
2007,,5518.04,217246.0,217246.0
2008,,5518.04,245251.0,245251.0
2009,,5518.04,271957.0,271957.0
2010,,5518.04,320422.0,320422.0
2011,,5518.04,307323.0,307323.0
2012,,5518.04,352271.0,352271.0
2013,,5518.04,340384.0,340384.0
2014,,5518.04,338429.0,338429.0
2015,,5518.04,349167.0,349167.0
2016,start of forecast,5518.04,339000.0,339000.0
2017,,5518.04,340000.0,340000.0
2018,,5518.04,340000.0,340000.0
2019,,5518.04,341000.0,341000.0
2020,,5518.04,342000.0,342000.0
2021,,5518.04,343000.0,343000.0
2022,,5518.04,343000.0,343000.0
2023,,5518.04,343000.0,343000.0
2024,,5518.04,344000.0,344000.0
2025,,5518.04,344000.0,344000.0
2026,,5518.04,345000.0,345000.0
2027,,5518.04,345000.0,345000.0
2028,,5518.04,346000.0,346000.0
2029,,5518.04,347000.0,347000.0
2030,,5518.04,349000.0,349000.0
2031,,5518.04,350000.0,350000.0
2032,,5518.04,350000.0,350000.0
2033,,5518.04,350000.0,350000.0
2034,,5518.04,350000.0,350000.0
2035,,5518.04,350000.0,350000.0
2036,,5518.04,350000.0,350000.0
2037,,5518.04,352000.0,352000.0
2038,,5518.04,353000.0,353000.0
2039,,5518.04,353000.0,353000.0
2040,,5518.04,354000.0,354000.0
