year,Base case cost,Modeled residential energy efficiency
2017,116046.737413,117737.217001
2018,123363.327307,124775.851176
2019,133397.507733,134469.679228
2020,138205.552521,139064.394865
2021,141341.233904,142028.948941
2022,143640.733585,144179.524055
2023,145313.096989,145720.126487
2024,146776.414968,147058.822952
2025,148448.778373,148603.681377
2026,150330.187202,150354.652478
2027,152002.550607,151903.569735
2028,153256.82316,153046.32695
2029,166297.447413,165962.38963
2030,167418.027689,166980.220878
2031,169659.188242,169095.525115
2032,171900.348794,171212.610461
2033,173917.393292,173112.305347
2034,176158.553844,175232.828658
2035,177727.366231,176697.621277
2036,179968.526783,178821.423286
