year,Base case cost,Modeled non-residential energy efficiency
2017,1032970.35558,1204576.73595
2018,1106043.17705,1271147.49963
2019,1208345.1271,1367099.78361
2020,1254624.5807,1407178.39149
2021,1288725.23071,1435223.52802
2022,1313082.83787,1453667.54778
2023,1330133.16288,1464942.88538
2024,1344747.72717,1473917.81322
2025,1361798.05218,1485460.68079
2026,1381284.1379,1499568.39032
2027,1398334.46291,1511366.39476
2028,1412949.02721,1520851.73946
2029,1432435.11293,1535328.82205
2030,1444613.91651,1542616.02073
2031,1464100.00223,1557325.14877
