year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,28807.2,625990.5,420120.74,28635.27,406979.85,286074.03
2018,32200.9,699063.33,475436.23,28674.3,406979.85,288934.77
2019,36947.49,801365.28,552204.59,28711.93,406979.85,291795.51
2020,39116.97,847644.73,591702.51,28749.04,406979.85,294656.25
2021,40727.85,881745.38,623420.38,28786.18,406979.85,297516.99
2022,41889.94,906102.99,648774.3,28822.14,406979.85,300377.73
2023,42714.44,923153.31,669267.8,28856.71,406979.85,303238.47
2024,43428.11,937767.88,688279.62,28891.87,406979.85,306099.21
2025,44254.62,954818.2,709363.38,28925.89,406979.85,308959.95
2026,45195.97,974304.29,732584.65,28960.39,406979.85,311820.7
2027,46027.07,991354.61,754302.38,28996.07,406979.85,314681.44
2028,46747.03,1005969.18,774450.99,29032.31,406979.85,317542.18
2029,47688.72,1025455.26,798656.01,29063.37,406979.85,320402.92
2030,48292.63,1037634.06,817454.1,29095.22,406979.85,323263.66
2031,49240.08,1057120.15,842293.1,29128.98,406979.85,326124.4
