year,Base case diesel consumed,Modeled residential ashp
2017,25404.0342403,-138067.069435
2018,25743.7652904,-137727.338385
2019,26083.4963406,-137387.607335
2020,26423.2273908,-137047.876285
2021,26762.9584409,-136708.145235
2022,27102.6894911,-136368.414184
2023,27442.4205413,-136028.683134
2024,27782.1515915,-135688.952084
2025,28121.8826416,-135349.221034
2026,28461.6136918,-135009.489984
2027,28801.344742,-134669.758934
2028,29141.0757921,-134330.027883
2029,29480.8068423,-133990.296833
2030,29820.5378925,-133650.565783
2031,30160.2689426,-133310.834733
