year,Base case diesel consumed,Point hope wind turbine design,Modeled wind power
2017,386800.846129,279123.590768,
2018,379996.676445,272319.421084,
2019,373386.911609,265709.656249,251777.465258
2020,366841.948389,259164.693029,245232.502038
2021,360296.985169,252619.729809,238687.538818
2022,354011.228414,246333.973053,232401.782062
2023,347919.876506,240242.621146,226310.430155
2024,341763.722982,234086.467622,220154.276631
2025,335801.974307,228124.718947,214192.527956
2026,329710.622399,222033.367039,208101.176048
2027,323424.865644,215747.610284,201815.419293
2028,317074.307272,209397.051912,195464.860921
2029,311630.971525,203953.716165,190021.525174
2030,306058.032546,198380.777185,184448.586194
2031,300096.28387,192419.02851,178486.837519
2032,293162.510954,185485.255594,171553.064603
2033,286163.936422,178486.681062,164554.490071
2034,279165.36189,171488.10653,157555.915539
2035,272296.39059,164619.13523,150686.944239
2036,265621.824138,157944.568778,144012.377787
2037,259141.662534,,137532.216183
2038,252531.897699,,130922.451347
