year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.99,2.45
2004,,2.27,2.45
2005,,2.73,2.95
2013,,5.93,7.0
2014,,,0.0
2016,start of forecast,2.59,3.31
2017,,3.18,3.9
2018,,3.62,4.34
2019,,4.25,4.97
2020,,4.55,5.27
2021,,4.76,5.48
2022,,4.91,5.63
2023,,5.02,5.74
2024,,5.11,5.83
2025,,5.22,5.94
2026,,5.35,6.07
2027,,5.46,6.18
2028,,5.56,6.28
2029,,5.68,6.4
2030,,5.76,6.48
2031,,5.89,6.61
2032,,6.03,6.75
2033,,6.17,6.89
2034,,6.32,7.04
2035,,6.41,7.13
2036,,6.56,7.28
2037,,6.65,7.37
2038,,6.81,7.53
2039,,6.92,7.64
2040,,7.09,7.81
