year,Base case diesel consumed,"Nikolski, sheep creek","Nikolski (unnamed stream, site #2) -- unnamed creek","Nikolski (unnamed stream, site #3) -- unnamed creek"
2021,18878.2845563,0.0,0.0,0.0
2022,18878.2845563,0.0,0.0,0.0
2023,18778.4011439,-99.8834123245,-99.8834123245,-99.8834123245
2024,18778.4011439,-99.8834123245,-99.8834123245,-99.8834123245
2025,18778.4011439,-99.8834123245,-99.8834123245,-99.8834123245
2026,18778.4011439,-99.8834123245,-99.8834123245,-99.8834123245
2027,18778.4011439,-99.8834123245,-99.8834123245,-99.8834123245
2028,18778.4011439,-99.8834123245,-99.8834123245,-99.8834123245
2029,18678.5177316,-199.766824649,-199.766824649,-199.766824649
2030,18678.5177316,-199.766824649,-199.766824649,-199.766824649
2031,18678.5177316,-199.766824649,-199.766824649,-199.766824649
2032,18678.5177316,-199.766824649,-199.766824649,-199.766824649
2033,18678.5177316,-199.766824649,-199.766824649,-199.766824649
2034,18678.5177316,-199.766824649,-199.766824649,-199.766824649
2035,18678.5177316,-199.766824649,-199.766824649,-199.766824649
2036,18678.5177316,-199.766824649,-199.766824649,-199.766824649
2037,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2038,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2039,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2040,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2041,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2042,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2043,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2044,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2045,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2046,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2047,18578.6343193,-299.650236974,-299.650236974,-299.650236974
2048,18478.750907,-399.533649298,-399.533649298,-399.533649298
2049,18478.750907,-399.533649298,-399.533649298,-399.533649298
2050,18478.750907,-399.533649298,-399.533649298,-399.533649298
