year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1180.86413772,767.561689515
2018,1191.00651613,774.154235486
2019,1199.78510859,779.860320585
2020,1208.42991323,785.479443596
2021,1216.93599523,791.008396902
2022,1224.02428268,795.61578374
2023,1229.97934884,799.486576747
2024,1235.78212169,803.258379099
2025,1241.98790295,807.29213692
2026,1249.89605207,812.432433846
2027,1257.00846519,817.055502372
2028,1263.96981869,821.580382147
2029,1270.26428922,825.671787991
2030,1275.96809197,829.379259783
2031,1281.28958505,832.83823028
