year,Base case cost,Modeled water and wastewater efficiency
2017,6163.83429543,8508.35569454
2018,6508.31900731,8644.38652773
2019,7012.12847198,8891.57774605
2020,7255.01316634,8963.02277652
2021,7402.4482496,8971.56813672
2022,7527.16014789,8966.82886843
2023,7610.76715316,8936.15034501
2024,7672.32683033,8892.5505568
2025,7762.48861518,8870.48586511
2026,7869.97900799,8862.24624286
2027,7962.95125255,8846.00266888
2028,8029.10417953,8813.33440507
2029,8169.52682561,8833.54733133
2030,8263.73231837,8823.94208394
2031,8388.90160873,8837.07541736
