year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,67827.0,52590.6219247
2018,66752.0,51515.6219247
2019,66751.0,51514.6219247
2020,66749.0,51512.6219247
2021,66748.0,51511.6219247
2022,66746.0,51509.6219247
2023,66745.0,51508.6219247
2024,66745.0,51508.6219247
2025,66744.0,51507.6219247
2026,66744.0,51507.6219247
2027,66744.0,51507.6219247
2028,66744.0,51507.6219247
2029,66748.0,51511.6219247
2030,66751.0,51514.6219247
2031,66753.0,51516.6219247
2032,66752.0,51515.6219247
2033,66750.0,51513.6219247
2034,66749.0,51512.6219247
2035,66748.0,51511.6219247
2036,66749.0,51512.6219247
