year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,67827.0,53975.7472043
2018,66752.0,52900.7472043
2019,66751.0,52899.7472043
2020,66749.0,52897.7472043
2021,66748.0,52896.7472043
2022,66746.0,52894.7472043
2023,66745.0,52893.7472043
2024,66745.0,52893.7472043
2025,66744.0,52892.7472043
2026,66744.0,52892.7472043
2027,66744.0,52892.7472043
2028,66744.0,52892.7472043
2029,66748.0,52896.7472043
2030,66751.0,52899.7472043
2031,66753.0,52901.7472043
2032,66752.0,52900.7472043
2033,66750.0,52898.7472043
2034,66749.0,52897.7472043
2035,66748.0,52896.7472043
2036,66749.0,52897.7472043
