year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,53154.3892974,39334.2480801
2018,53154.3892974,39334.2480801
2019,53154.3892974,39334.2480801
2020,53154.3892974,39334.2480801
2021,53154.3892974,39334.2480801
2022,53154.3892974,39334.2480801
2023,53154.3892974,39334.2480801
2024,53154.3892974,39334.2480801
2025,53154.3892974,39334.2480801
2026,53154.3892974,39334.2480801
2027,53154.3892974,39334.2480801
2028,53154.3892974,39334.2480801
2029,53154.3892974,39334.2480801
2030,53154.3892974,39334.2480801
2031,53154.3892974,39334.2480801
