year,Base case cost,Modeled biomass for heat (cordwood)
2017,236769.962163,260476.451249
2018,251040.400554,270307.562365
2019,276402.019762,289722.610765
2020,289076.048177,299097.816436
2021,297081.477385,304789.645394
2022,303747.175801,309434.036973
2023,308414.775009,312510.777433
2024,311752.025009,314548.754779
2025,316419.434216,317654.086045
2026,321758.954216,321306.902068
2027,326431.034216,324444.351639
2028,329768.234216,326537.18946
2029,335127.837385,330249.825663
2030,338480.449762,332383.638352
2031,343830.831346,336112.016342
2032,349165.840554,339837.066566
2033,355162.87897,344097.395786
2034,361164.968177,348374.262434
2035,365164.437385,351075.264082
2036,371177.318177,355385.094238
