year,Base case cost,Modeled residential energy efficiency
2017,188817.045288,187669.804631
2018,186767.789313,185285.210995
2019,197986.971523,196068.137405
2020,203596.562628,201421.036956
2021,207139.462274,204774.55368
2022,210091.878645,207558.097704
2023,212158.570105,209485.735928
2024,213634.77829,210843.317661
2025,215701.46975,212774.365303
2026,218063.402847,214992.948668
2027,220130.094307,216927.247785
2028,221606.302493,218291.334298
2029,223968.235589,220514.62497
2030,225444.443775,221881.739654
2031,227806.376872,224107.987526
2032,230168.309969,226335.662221
2033,232825.484703,228850.621005
2034,235482.659437,231366.940513
2035,237254.10926,233026.916733
2036,239911.283994,235545.862762
