year,Base case diesel consumed,Modeled residential energy efficiency
2017,62625.0331199,42249.8420244
2018,63706.0460532,43330.8549578
2019,64787.0589866,44411.8678911
2020,66949.0848533,46573.8937578
2021,68030.0977866,47654.9066912
2022,69111.11072,48735.9196245
2023,70192.1236533,49816.9325579
2024,71273.1365867,50897.9454912
2025,72354.14952,51978.9584246
2026,73435.1624534,53059.9713579
2027,75597.18832,55221.9972246
2028,76678.2012534,56303.010158
2029,77759.2141867,57384.0230913
2030,78840.2271201,58465.0360246
2031,79921.2400534,59546.048958
