year,Base case diesel consumed,Modeled non-residential ashp
2017,8910.26387546,-10459.8749649
2018,8910.26387546,-10459.8749649
2019,8910.26387546,-10459.8749649
2020,8910.26387546,-10459.8749649
2021,8910.26387546,-10459.8749649
2022,8910.26387546,-10459.8749649
2023,8910.26387546,-10459.8749649
2024,8910.26387546,-10459.8749649
2025,8910.26387546,-10459.8749649
2026,8910.26387546,-10459.8749649
2027,8910.26387546,-10459.8749649
2028,8910.26387546,-10459.8749649
2029,8910.26387546,-10459.8749649
2030,8910.26387546,-10459.8749649
2031,8910.26387546,-10459.8749649
