year,Base case cost,Modeled solar power (pv)
2016,120666.801902,128189.498857
2017,145049.448788,152045.44101
2018,163565.314261,170134.006466
2019,188882.096142,194935.218043
2020,202060.638267,207791.893248
2021,211519.185973,216982.876021
2022,218796.476759,224029.896586
2023,224421.279291,229453.044951
2024,229793.072565,234635.644082
2025,236087.281061,240737.469345
2026,243081.918453,247529.000436
2027,249244.451831,253508.200484
2028,254872.011957,258964.240669
2029,261772.201752,265682.138352
2030,266913.046522,270667.071855
2031,274570.195894,278142.838534
2032,282314.209478,285709.654383
2033,289825.895762,293048.238462
2034,297737.433187,300790.681766
2035,304158.49101,307067.829131
