year,Base case cost,Modeled biomass for heat (pellet)
2017,131415.032675,160066.223368
2018,146590.442675,170891.737004
2019,168045.332675,186196.773524
2020,177987.842675,193289.351424
2021,185313.902675,198515.461455
2022,190546.802675,202248.397192
2023,194209.832675,204861.452207
2024,197349.572675,207101.213649
2025,201012.602675,209714.268665
2026,205722.212675,213073.910828
2027,209385.242675,215686.965843
2028,212524.982675,217926.727285
2029,216711.302675,220913.075875
2030,219327.752675,222779.543743
2031,224037.362675,226139.185906
2032,,
2033,,
2034,,
2035,,
2036,,
