year,Base case diesel consumed,Modeled residential ashp
2017,120265.827798,61464.3701942
2018,120265.827798,61464.3701942
2019,118761.253793,59959.7961891
2020,117256.679788,58455.222184
2021,117256.679788,58455.222184
2022,115752.105783,56950.648179
2023,114247.531778,55446.0741739
2024,111238.383768,52436.9261637
2025,109733.809763,50932.3521586
2026,108229.235758,49427.7781535
2027,106724.661753,47923.2041485
2028,105220.087747,46418.6301434
2029,100706.365732,41904.9081281
2030,97697.217722,38895.7601179
2031,94688.0697119,35886.6121078
