year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,12254.5,131413.78,239001.53,-701.31,-21656.33,-8714.64
2018,13669.46,146589.05,256053.95,-543.04,-17719.02,-6748.03
2019,15659.23,168043.74,276657.6,-319.06,-12469.27,-3924.99
2020,16573.81,177986.15,284045.39,-215.29,-9844.4,-2621.57
2021,17245.32,185312.14,292071.62,-138.91,-8094.48,-1692.59
2022,17713.8,190544.99,293983.37,-84.36,-6636.22,-1017.72
2023,18032.52,194207.99,294072.23,-46.22,-5761.26,-552.13
2024,18296.23,197347.7,289589.97,-13.6,-5032.13,-159.09
2025,18608.8,201010.69,289428.71,24.33,-4011.35,281.71
2026,19019.15,205720.26,290222.8,72.98,-2844.74,836.26
2027,19337.43,209383.25,289840.85,110.72,-1969.78,1255.18
2028,19606.83,212522.96,288841.47,142.98,-1094.82,1603.37
2029,19930.94,216709.24,280389.83,185.55,-74.04,2012.1
2030,20119.44,219325.67,274400.02,211.88,509.27,2246.18
2031,20510.22,224035.23,270114.91,259.62,1675.88,2687.35
2032,,,274281.52,,,3186.11
2033,,,274023.66,,,3636.39
2034,,,278579.67,,,4183.27
2035,,,281313.28,,,4511.41
2036,,,276196.91,,,4870.18
