year,Base case cost,Modeled biomass for heat (cordwood)
2017,131415.032675,164148.391231
2018,146590.442675,175369.349991
2019,168045.332675,191233.4641
2020,177987.842675,198585.126736
2021,185313.902675,204002.14131
2022,190546.802675,207871.437434
2023,194209.832675,210579.944721
2024,197349.572675,212901.522395
2025,201012.602675,215610.029682
2026,205722.212675,219092.396194
2027,209385.242675,221800.903481
2028,212524.982675,224122.481155
2029,216711.302675,227217.918055
2030,219327.752675,229152.566117
2031,224037.362675,232634.932629
2032,,
2033,,
2034,,
2035,,
2036,,
