year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.13
2004,,1.36,2.13
2005,,1.78,2.92
2006,,2.1,3.15
2008,,2.97,3.84
2009,,2.59,3.45
2010,,2.94,3.35
2011,,3.54,4.23
2012,,3.94,4.38
2013,,4.05,4.22
2014,,,4.07
2016,start of forecast,1.69,2.13
2017,,2.07,2.51
2018,,2.36,2.8
2019,,2.77,3.21
2020,,2.96,3.4
2021,,3.1,3.54
2022,,3.2,3.64
2023,,3.27,3.71
2024,,3.33,3.77
2025,,3.4,3.84
2026,,3.49,3.93
2027,,3.56,4.0
2028,,3.62,4.06
2029,,3.7,4.14
2030,,3.75,4.19
2031,,3.84,4.28
2032,,3.93,4.37
2033,,4.02,4.46
2034,,4.12,4.56
2035,,4.18,4.62
2036,,4.27,4.71
2037,,4.33,4.77
2038,,4.43,4.87
2039,,4.51,4.95
2040,,4.62,5.06
