year,Base case cost,"Scammon bay, alaska heat recovery study"
2019,697014.531899,685541.56498
2020,720022.099131,706580.872212
2021,737616.121133,722669.754214
2022,749796.597903,733808.210984
2023,757916.91575,741233.848831
2024,764683.847289,747421.88037
2025,772804.165136,754847.518217
2026,783631.255598,764748.368679
2027,791751.573445,772174.006526
2028,799871.891292,779599.644373
2029,809345.595446,788262.888527
2030,814759.140677,793213.313759
2031,825586.23114,803114.164221
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
