year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,135338.63078,100150.586777
2018,135338.63078,100150.586777
2019,135338.63078,100150.586777
2020,135338.63078,100150.586777
2021,135338.63078,100150.586777
2022,135338.63078,100150.586777
2023,135338.63078,100150.586777
2024,135338.63078,100150.586777
2025,135338.63078,100150.586777
2026,135338.63078,100150.586777
2027,135338.63078,100150.586777
2028,135338.63078,100150.586777
2029,135338.63078,100150.586777
2030,135338.63078,100150.586777
2031,135338.63078,100150.586777
