year,Base case cost,Scammon bay hydroelectric project
2021,428213.661649,579026.260063
2022,441561.971518,588927.733536
2023,451011.075898,596078.946984
2024,459439.278459,602592.240435
2025,468995.454843,609850.525887
2026,481553.365125,619344.581594
2027,491501.395302,626994.72084
2028,501511.884149,634707.318755
2029,512941.820608,643456.38246
2030,520358.044017,649340.678582
2031,533575.488104,659494.268093
2032,546592.172182,669447.097596
2033,558313.582431,678487.635091
2034,573183.207029,689910.423291
2035,582598.107851,697410.415004
2036,596261.685289,708010.137866
2037,605813.40034,715646.943807
2038,619649.482673,726419.171565
2039,632166.497398,736255.313537
2040,647946.234032,748588.213773
2041,650658.724808,751300.704549
2042,653710.276931,754352.256672
2043,656761.829053,757403.808794
2044,659813.381176,760455.360917
2045,662864.933298,763506.913039
2046,666255.546768,766897.526509
2047,669307.098891,769949.078631
2048,672697.71236,773339.692101
2049,676088.32583,776730.305571
2050,679478.939299,780120.91904
