year,Base case cost,Modeled solar power (pv)
2016,250274.861611,267293.930515
2017,299110.105351,315413.81685
2018,336674.533526,352456.002137
2019,386054.059955,401142.050728
2020,409693.179127,424495.796994
2021,428213.661649,442814.58002
2022,441561.971518,456042.913747
2023,451011.075898,465432.486356
2024,459439.278459,473821.767598
2025,468995.454843,483321.050943
2026,481553.365125,495785.640038
2027,491501.395302,505679.800498
2028,501511.884149,515637.750475
2029,512941.820608,526998.012141
2030,520358.044017,534401.055291
2031,533575.488104,547533.390518
2032,546592.172182,560466.808523
2033,558313.582431,572124.637051
2034,573183.207029,586896.743697
2035,582598.107851,596286.506336
