year,Base case diesel consumed,Modeled residential energy efficiency
2017,86366.8674578,62126.9935406
2018,86366.8674578,62126.9935406
2019,86366.8674578,62126.9935406
2020,85455.5554771,61215.6815599
2021,85455.5554771,61215.6815599
2022,84544.2434964,60304.3695792
2023,84544.2434964,60304.3695792
2024,83632.9315156,59393.0575984
2025,83632.9315156,59393.0575984
2026,82721.6195349,58481.7456177
2027,81810.3075542,57570.433637
2028,80898.9955735,56659.1216563
2029,80898.9955735,56659.1216563
2030,79987.6835927,55747.8096755
2031,79076.371612,54836.4976948
