year,Base case diesel consumed,"Galena and ruby (melozitna river, low head)",Ruby (grayling creek)
2021,47781.5647743,0.0,12732.5737544
2022,47781.5647743,0.0,12732.5737544
2023,47781.5647743,0.0,12732.5737544
2024,47781.5647743,0.0,12732.5737544
2025,47781.5647743,0.0,12732.5737544
2026,47781.5647743,0.0,12732.5737544
2027,47781.5647743,0.0,12732.5737544
2028,47781.5647743,0.0,12732.5737544
2029,47781.5647743,0.0,12732.5737544
2030,47781.5647743,0.0,12732.5737544
2031,47781.5647743,0.0,12732.5737544
2032,47781.5647743,0.0,12732.5737544
2033,47781.5647743,0.0,12732.5737544
2034,47781.5647743,0.0,12732.5737544
2035,47852.8054741,71.2406997617,12803.8144541
2036,47852.8054741,71.2406997617,12803.8144541
2037,47852.8054741,71.2406997617,12803.8144541
2038,47852.8054741,71.2406997617,12803.8144541
2039,47852.8054741,71.2406997617,12803.8144541
2040,47852.8054741,71.2406997617,12803.8144541
2041,47852.8054741,71.2406997617,12803.8144541
2042,47852.8054741,71.2406997617,12803.8144541
2043,47852.8054741,71.2406997617,12803.8144541
2044,47852.8054741,71.2406997617,12803.8144541
2045,47852.8054741,71.2406997617,12803.8144541
2046,47852.8054741,71.2406997617,12803.8144541
2047,47852.8054741,71.2406997617,12803.8144541
2048,47852.8054741,71.2406997617,12803.8144541
2049,47852.8054741,71.2406997617,12803.8144541
2050,47852.8054741,71.2406997617,12803.8144541
