year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,30470.61,111006.31,260465.88,18345.4,211388.15,233466.93
2018,32619.72,118868.82,271665.2,18907.03,217727.56,240468.47
2019,35432.18,129150.57,293107.21,19637.76,226017.55,253586.61
2020,36750.32,133989.03,300162.71,19987.66,229918.73,257963.64
2021,37737.27,137617.89,305454.33,20251.75,232844.61,261246.41
2022,38393.53,140037.12,308982.07,20429.62,234795.19,263434.93
2023,38890.84,141851.54,311627.88,20557.07,236258.13,265076.31
2024,39304.62,143363.57,313832.73,20664.02,237477.25,266444.13
2025,39715.25,144875.59,316037.57,20774.52,238696.37,267811.95
2026,40286.85,146992.42,319124.35,20932.84,240403.13,269726.9
2027,40769.92,148806.84,321770.16,21076.09,241866.07,271368.29
2028,41171.78,150318.86,323975.0,21196.09,243085.19,272736.11
2029,41661.61,152133.29,326620.81,21331.54,244548.13,274377.5
2030,41981.11,153342.91,328384.68,21429.53,245523.42,275471.75
2031,42635.15,155762.14,339609.02,21608.82,247474.01,281998.71
