year,Base case cost,"Galena and ruby (melozitna river, low head)",Ruby (grayling creek)
2021,143344.694323,75080858.3976,898656.981686
2022,147167.219505,73584523.3868,883395.815581
2023,150034.113391,72127824.0704,868199.979248
2024,152423.19163,70707430.635,853221.678052
2025,154812.269869,69320032.5101,838613.333116
2026,158156.979403,67959818.8712,824688.872266
2027,161023.87329,66633590.7583,810955.92983
2028,163412.951528,65340610.616,797406.236049
2029,166279.845415,64075120.8469,784354.315555
2030,168191.108006,62843974.2658,771308.383193
2031,172013.633188,61631371.5209,759228.533645
2032,175358.342722,60449235.6465,747300.749976
2033,178703.052256,59294392.8072,735678.986434
2034,182525.577438,58163684.6347,724517.370694
2035,184711.82913,57069355.1905,713277.391118
2036,188540.053568,55990100.056,702698.322213
2037,190932.693842,54943221.9723,691911.54256
2038,194282.390225,53915548.9229,681720.587116
2039,197153.558553,52914066.868,671633.050346
2040,201460.311046,51928148.8628,662290.758595
2041,201460.311046,50987469.6111,651743.496835
2042,201460.311046,50068837.5072,641443.436274
2043,201460.311046,49171735.892,631384.78393
2044,201460.311046,48295660.088,621561.881162
2045,201460.311046,47440117.3266,611969.202855
2046,201460.311046,46604626.3123,602601.352539
2047,201460.311046,45788717.1504,593453.06157
2048,201460.311046,44991930.8385,584519.183436
2049,201460.311046,44213819.1939,575794.692937
2050,201460.311046,43453944.5631,567274.682933
