year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,47781.56,8300.83,30240.42,43074.3
2018,47781.56,8298.51,30240.42,43074.3
2019,47781.56,8296.4,30240.42,44096.84
2020,47781.56,8294.3,30240.42,44096.84
2021,47781.56,8292.46,30240.42,44096.84
2022,47781.56,8290.92,30240.42,44096.84
2023,47781.56,8290.89,30240.42,44096.84
2024,47781.56,8290.73,30240.42,44096.84
2025,47781.56,8289.91,30240.42,44096.84
2026,47781.56,8288.12,30240.42,44096.84
2027,47781.56,8285.23,30240.42,44096.84
2028,47781.56,8282.74,30240.42,44096.84
2029,47781.56,8281.32,30240.42,44096.84
2030,47781.56,8279.0,30240.42,44096.84
2031,47781.56,8277.4,30240.42,45119.39
