year,Base case diesel consumed,Modeled non-residential ashp
2017,4173.17849965,-4898.94866444
2018,4173.17849965,-4898.94866444
2019,4173.17849965,-4898.94866444
2020,4173.17849965,-4898.94866444
2021,4173.17849965,-4898.94866444
2022,4173.17849965,-4898.94866444
2023,4173.17849965,-4898.94866444
2024,4173.17849965,-4898.94866444
2025,4173.17849965,-4898.94866444
2026,4173.17849965,-4898.94866444
2027,4173.17849965,-4898.94866444
2028,4173.17849965,-4898.94866444
2029,4173.17849965,-4898.94866444
2030,4173.17849965,-4898.94866444
2031,4173.17849965,-4898.94866444
