year,Base case cost,Modeled diesel efficiency
2019,129965.856186,289357.113036
2020,137610.90655,292294.510366
2021,143344.694323,293588.442631
2022,147167.219505,293236.705689
2023,150034.113391,292105.902888
2024,152423.19163,290628.3096
2025,154812.269869,289236.251081
2026,158156.979403,288796.478451
2027,161023.87329,288003.900205
2028,163412.951528,286856.604356
2029,166279.845415,286221.480007
2030,168191.108006,284793.569869
2031,172013.633188,285177.360897
2032,175358.342722,285199.224789
2033,178703.052256,285291.841264
2034,182525.577438,285887.930136
2035,184711.82913,285063.972544
2036,188540.053568,285798.611093
2037,190932.693842,285292.522238
2038,194282.390225,285719.325482
