year,Base case cost,"Upper chilkoot lake -- upper chilkoot lake, aka connelly lake",Burro creek,Lace river (unnamed lake near),Reid falls,Haska creek,Lace river,Haines (west creek),Walker lake (klukwan),Sherman creek,"Skagway tributary -- skagway river, tributary",Connelly lake hydroelectric project,Beardslee (beardslee creek),"Excursion inlet (s excursion inlet; 58.25', 135.24') -- south creek, excursion inlet",Antler river,Endicott river,Ferebee river,Chilkoot river tributary,Haines (dayebas creek),Haines (kelsall river),Haines (nataga creek),Schubee lake hydroelectric project,Excursion inlet hydro project  feasibility and conceptual design -- excursion creek,Schubee lake
2021,0.0,4035295.29951,9215056.77293,16441841.8117,539762.066621,1242701.33846,77381765.5845,14161277.5235,687388.249609,1548904.61582,30711132.8296,3788599.48409,1527180.82336,1031553.69811,11882796.2755,26687282.2809,4462274.72423,20162456.1187,2860324.86161,5589161.9014,4009453.14182,,,5981935.91418
2022,0.0,3951455.49813,9026418.35004,16099668.532,523685.404788,1216952.43977,75735583.1722,13832489.7801,671383.929968,1517400.48318,30086108.3581,3693803.22763,1496191.93112,1010245.46456,11631377.7433,26118444.954,4369337.82704,19741788.0848,2787911.09315,5476212.38685,3927090.27995,,,5847699.30907
2023,0.0,3870438.57363,8843736.44967,15769095.6614,508831.112627,1192060.66544,74150213.4827,13519613.8235,656159.780889,1486862.27934,29480300.5571,3604451.40943,1466142.66981,989637.312416,11389059.5641,25570772.5838,4279561.74843,19335530.4722,2719754.46814,5366621.22244,3847368.8936,,,5719376.47505
2024,0.0,3791887.51582,8666350.94716,15448637.337,494883.865086,1167919.93646,72616694.4361,13219494.6887,641560.185878,1457190.21843,28891710.454,3519323.84549,1436938.69159,969644.800132,11154540.926,25041113.5391,4192539.2708,18941802.5987,2654887.30772,5260068.61266,3769985.98908,,,5595890.50431
2025,0.0,3714507.81349,8491924.41447,15132894.5479,480603.429358,1144147.01201,71101763.6642,12920003.9114,626986.560981,1428035.96441,28313349.7969,3433675.77153,1408252.65159,949964.214321,10923014.7788,24517753.8624,4106789.33116,18553750.0804,2589542.10944,5155458.22966,3693861.64622,,,5473138.27337
2026,0.0,3638570.19379,8320921.14051,14823001.3543,466291.517336,1120821.42947,69612712.278,12623978.9303,612579.090802,1399466.47279,27746566.4508,3348639.51044,1380146.559,930657.992577,10695525.9231,24003268.4334,4022623.63811,18172821.734,2524619.85883,5052991.7137,3619213.52876,,,5352064.54288
2027,0.0,3564659.21634,8154367.53886,14521401.6309,452558.353675,1098115.52328,68164957.2834,12337253.2528,598625.854025,1371632.05599,27194381.4263,3266523.60174,1352760.58798,911862.002835,10474291.8583,23503095.145,3940713.32327,17802130.9444,2461955.84566,4953131.37336,3546519.59341,,,5234624.85229
2028,0.0,3493047.56085,7992732.33009,14229237.3991,439705.958327,1076109.43143,66765827.6047,12062671.5033,585267.384469,1344600.41244,26658157.3226,3188462.35659,1326157.47951,893639.180627,10260363.1784,23019821.9285,3861372.25657,17443136.3009,2402452.56467,4856081.52267,3475999.4349,,,5121766.95269
2029,0.0,3422131.77188,7833127.05636,13939819.7649,426186.35696,1054328.61973,65374029.6456,11785127.1377,571758.078377,1317941.70917,26129269.6299,3108539.77175,1299933.55588,875613.628832,10047774.6383,22538904.488,3782765.36292,17087343.3183,2341411.98764,4760491.85943,3406317.67438,,,5008384.42842
2030,0.0,3354063.46431,7679383.97195,13662133.082,414152.005585,1033408.75971,64045569.0776,11525426.2528,559125.107948,1292222.24143,25619089.1862,3034943.32406,1274619.02626,858287.829711,9844600.97924,22080081.6984,3707358.5567,16746177.6759,2285339.29668,4668125.14833,3339251.64931,,,4901483.48574
2031,0.0,3285989.61705,7526379.20347,13384272.7025,400821.78827,1012505.90211,62706760.3576,11256499.2425,546032.324066,1266680.94186,25112342.3973,2957058.01357,1249499.71356,840993.634794,9640203.26414,21617395.7413,3631885.45128,16404515.4669,2225803.7022,4576596.30738,3272430.5097,,,4791923.42206
2032,0.0,3219750.77303,7377389.14608,13113924.4214,388040.0838,992163.770561,61405536.7228,10996166.2936,533359.498578,1241801.79915,24618747.7868,2881897.9115,1225028.69661,824160.799993,9441491.72619,21167740.9304,3558455.5937,16072131.6192,2168378.21587,4487411.21318,3207374.03011,,,4685703.89273
2033,0.0,3154685.56552,7231213.0579,12848331.1981,375184.549416,972186.403921,60124993.7116,10738311.2443,520804.815704,1217405.27607,24134704.7439,2807076.26653,1201037.01417,807633.86999,9246020.97106,20725165.9627,3486312.83249,15745528.3118,2111168.17915,4400002.37817,3143528.29523,,,4580751.72407
2034,0.0,3091072.0007,7088331.74896,12588656.7715,362558.045444,952655.578673,58872563.4013,10485798.3206,508509.761917,1193561.09775,23661616.0622,2733732.81369,1177589.4036,791477.138675,9054857.39695,20292294.3735,3415776.93357,15426190.7943,2055080.20395,4314581.41043,3081118.16741,,,4478022.82493
2035,0.0,3029814.59247,6950347.65207,12338679.791,351080.275158,933838.309442,57671907.248,10247479.6273,496911.404871,1170505.26287,23204222.0943,2665358.54287,1154906.49842,775901.465509,8871409.36614,19877467.99,3347885.22801,15118927.6606,2002888.61616,4231879.67,3020887.95047,,,4380492.88945
2036,0.0,2969003.04125,6813826.04607,12090430.0418,338895.854034,915169.414662,56473741.0976,10005278.269,485117.496607,1147727.24055,22752277.9199,2594868.35037,1132509.07519,760459.305197,8688559.66984,19463326.2158,3280450.95326,14813614.8355,1948966.485,4150295.75609,2961248.88373,,,4282055.42617
2037,0.0,2910794.82072,6682612.4829,11852915.7659,328158.162446,897286.368095,55334184.0839,9780021.90327,474156.257181,1125795.55531,22317198.5886,2530455.67896,1110929.53891,745654.634114,8514400.43297,19069647.0886,3215946.50895,14521707.3227,1899823.52121,4071600.45639,2903984.09875,,,4189725.61441
2038,0.0,2852342.63254,6551596.07805,11614255.6487,316086.987359,879346.980856,54179661.4911,9544661.98396,462692.561002,1103951.31726,21883753.6909,2461511.35612,1089455.85738,730820.76321,8338309.69848,18670511.0428,3151111.84313,14228109.859,1847033.35866,3993416.5256,2846728.40507,,,4094371.5163
2039,0.0,2796118.29939,6425185.68044,11384769.8523,305144.3034,862081.682649,53074428.3505,9323024.13815,451902.614584,1082846.60435,21465035.32,2397405.56719,1068698.79415,716535.23092,8169553.82264,18288562.5821,3088779.35022,13945944.6018,1798040.41156,3917776.12704,2791525.73799,,,4004019.88103
2040,0.0,2739901.68247,6299393.50773,11155194.6295,293166.843314,844833.723225,51961151.9475,9094050.09718,440746.990092,1061889.04824,21049155.5437,2329881.05817,1048102.45748,702278.079977,7999854.74633,17903604.7893,3026407.26487,13663442.8946,1746286.53154,3842822.65993,2736530.99305,,,3911559.55426
2041,0.0,2688668.8036,6183110.74229,10946302.3137,285083.664497,829073.921349,50968969.3513,8905510.26242,431583.891141,1042395.12397,20662542.8668,2277711.16834,1028900.50912,689212.643911,7847841.24654,17561143.0892,2969696.21431,13407011.1031,1706685.57272,3772664.78698,2685864.05967,,,3833093.62067
2042,0.0,2638636.69532,6069553.35416,10742305.9115,277189.935183,813683.489829,50000041.0346,8721389.33002,422635.552322,1023358.08854,20284991.4245,2226764.0103,1010148.60643,676453.429003,7699390.56316,17226707.8352,2914314.32899,13156589.4318,1668012.76138,3704151.23917,2636384.63254,,,3756466.73239
2043,0.0,2589777.21413,5958657.46628,10543090.6731,269481.215077,798653.771406,49053821.9664,8541583.73029,413896.940112,1004767.23346,19916288.8406,2177010.9258,991836.201287,663993.258077,7554419.1913,16900110.9045,2860230.4561,12912037.0161,1630246.3437,3637243.47701,2588064.87902,,,3681635.7861
2044,0.0,2542062.87735,5850360.70152,10348544.5432,261953.168151,783976.312111,48129779.914,8365992.32552,405363.139185,986612.101669,19556227.7261,2128423.92956,973952.993263,651825.122491,7412845.58695,16581168.5915,2807414.17434,12673216.2993,1593365.07669,3571903.86598,2540877.62006,,,3608558.69063
2045,0.0,2495466.84541,5744602.14233,10158558.0885,254601.559835,769642.855788,47227395.0985,8194516.34453,397029.349228,968882.480804,19204605.5444,2080975.69111,956488.922951,639942.1776,7274590.11415,16269701.4893,2755835.77426,12439992.9434,1557348.21442,3508095.65217,2494796.31255,,,3537194.33968
2046,0.0,2449962.90794,5641322.29931,9973024.44122,247422.254834,755645.339838,46346159.9266,8027059.33175,388890.882469,951568.397919,18861224.5074,2034639.52073,939434.166776,628337.739222,7139575.0039,15965534.3973,2705466.24291,12212235.7598,1522175.49734,3445782.94334,2449795.03565,,,3467502.59066
2047,0.0,2405525.46917,5540463.07799,9791839.23947,240411.214821,741975.890721,45485578.7072,7863527.09332,380943.161054,934660.113914,18525891.4647,1989389.3545,922779.131512,617005.279912,7007724.3108,15668496.2225,2656277.24763,11989816.6359,1487827.14095,3384930.68884,2405848.47634,,,3399444.24226
2048,0.0,2362129.5325,5441967.74382,9614900.56437,233564.495999,728626.819202,44645167.353,7703827.64036,373181.714294,918148.117675,18198417.7874,1945199.73867,906514.448498,605938.425022,6878963.86722,15378419.8775,2608241.11901,11772610.4585,1454283.82387,3325504.65856,2362931.91415,,,3332981.01084
2049,0.0,2319750.68824,5345780.89438,9442108.89005,226878.247173,715590.616592,43824453.1426,7547871.14385,365602.176467,902023.121401,17878619.2755,1902045.8171,890630.969045,595130.949579,6753221.24695,15095142.1978,2561330.83732,11560495.0515,1421526.6784,3267471.42605,2321021.20903,,,3268075.51162
