year,annotation,Average Load
2003,,191.0
2004,,181.0
2005,,179.0
2006,,174.0
2007,,176.0
2008,,181.0
2009,,179.0
2010,,182.0
2011,,180.0
2012,,182.0
2013,,185.0
2014,start of forecast,184.0
2015,,184.0
2016,,185.0
2017,,186.0
2018,,187.0
2019,,187.0
2020,,188.0
2021,,189.0
2022,,189.0
2023,,190.0
2024,,191.0
2025,,192.0
2026,,193.0
2027,,193.0
2028,,194.0
2029,,195.0
2030,,196.0
2031,,197.0
2032,,198.0
2033,,198.0
2034,,199.0
2035,,200.0
2036,,200.0
2037,,201.0
2038,,202.0
2039,,203.0
2040,,203.0
