year,Base case diesel consumed,Modeled wind power
2019,125753.552095,80912.2421158
2020,126272.582086,81431.2721067
2021,126791.612077,81950.3020977
2022,127310.642068,82469.3320887
2023,127829.672059,82988.3620796
2024,128348.70205,83507.3920706
2025,128867.732041,84026.4220615
2026,129386.762032,84545.4520525
2027,129905.792023,85064.4820435
2028,130498.969156,85657.659176
2029,131092.146288,86250.8363085
2030,131611.176279,86769.8662995
2031,132204.353412,87363.043432
2032,132723.383403,87882.073423
2033,133168.266252,88326.9562724
2034,133613.149101,88771.8391217
2035,134132.179092,89290.8691127
2036,134651.209083,89809.8991037
2037,135170.239074,90328.9290946
2038,135615.121924,90773.811944
