year,Base case cost,Modeled water and wastewater efficiency
2017,54466.8220155,84223.0161311
2018,58553.7794101,87822.8278411
2019,63869.7322354,92505.8569681
2020,67013.2144527,95270.982085
2021,69597.9732057,97542.7314427
2022,71865.3001536,99534.0228193
2023,73793.703217,101226.073593
2024,75644.5392964,102849.334141
2025,77660.5629968,104617.975679
2026,79987.9467889,106660.758931
2027,82064.1926303,108482.026158
2028,84018.2110034,110195.453296
2029,86444.2768511,112323.530757
2030,88433.4378111,114066.719215
2031,90820.7312741,116160.854154
