year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,42641.78,510485.82,850376.1,11825.04,286408.38,317198.23
2018,45737.85,539814.34,916637.55,12815.93,303544.86,342560.04
2019,49772.13,578919.04,994430.49,14097.6,326393.49,372921.17
2020,52116.49,597385.14,1046289.3,14896.72,337183.12,392339.34
2021,54025.0,610420.04,1082811.09,15572.97,344799.33,406035.16
2022,55684.35,620196.21,1121567.27,16180.95,350511.49,420132.54
2023,57079.74,626713.66,1147777.48,16713.96,354319.6,429664.25
2024,58411.65,632144.87,1179783.53,17232.89,357493.02,441030.05
2025,59867.51,638662.32,1214166.73,17793.05,361301.12,453325.65
2026,61558.18,647352.25,1245454.31,18429.76,366378.6,464832.64
2027,63055.45,653869.7,1280732.15,19008.74,370186.7,477448.55
2028,64458.3,659300.9,1314353.52,19559.91,373360.12,489392.7
2029,66207.35,666904.6,1352629.79,20236.93,377802.91,503160.86
2030,67624.8,671249.56,1376993.29,20808.64,380341.65,511873.99
2031,69346.57,678853.25,1416114.49,21474.16,384784.44,525944.67
2032,,,1457998.04,,,541083.07
2033,,,1492292.61,,,553666.68
2034,,,1526984.79,,,566392.66
2035,,,1563476.47,,,579364.48
2036,,,1598988.74,,,592384.07
