year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,30339.1775804,22450.9914095
2018,30339.1775804,22450.9914095
2019,30339.1775804,22450.9914095
2020,30339.1775804,22450.9914095
2021,30339.1775804,22450.9914095
2022,30339.1775804,22450.9914095
2023,30339.1775804,22450.9914095
2024,30339.1775804,22450.9914095
2025,30339.1775804,22450.9914095
2026,30339.1775804,22450.9914095
2027,30339.1775804,22450.9914095
2028,30339.1775804,22450.9914095
2029,30339.1775804,22450.9914095
2030,30339.1775804,22450.9914095
2031,30339.1775804,22450.9914095
