year,Base case cost,"Nikolski, sheep creek","Nikolski (unnamed stream, site #2) -- unnamed creek","Nikolski (unnamed stream, site #3) -- unnamed creek"
2021,89860.6344875,341050.964524,1013954.41573,526370.589463
2022,92692.3771709,334633.410084,991090.207533,516325.999401
2023,94267.5737422,327827.934619,968710.455464,505984.030009
2024,95957.6298452,321645.006967,947550.779987,496350.137111
2025,98023.253971,315627.155337,926612.133538,486958.849248
2026,100464.44612,309770.938235,905883.507382,477804.836736
2027,102530.070246,304036.515028,885851.498063,468852.481208
2028,104407.91036,298429.723701,866381.270349,460104.303441
2029,106093.980715,292407.381089,846522.223048,451010.812059
2030,107588.262134,287038.322528,828137.050074,442648.224488
2031,110016.469439,281837.229487,809532.600679,434515.896132
2032,112631.461921,276768.632565,791200.669157,426582.786089
2033,115246.454404,271821.495641,773257.266575,418837.775462
2034,118048.232063,267001.09309,755567.951071,411283.060205
2035,119729.298659,262247.797137,739001.17955,403868.103147
2036,122531.076319,257656.346239,722044.239677,396667.954601
2037,123547.918223,252462.411237,705528.454184,388935.029474
2038,126520.499714,248081.44544,689128.645213,382063.645346
2039,128564.149489,243770.218036,673697.503927,375327.382864
2040,131722.517323,239604.604864,657837.452322,368784.081057
2041,131722.517323,235418.382412,644446.470973,362301.074225
2042,131722.517323,231330.274548,631369.34075,355970.012865
2043,131722.517323,227337.981675,618598.705646,349787.335698
2044,131722.517323,223439.258193,606127.382389,343749.565069
2045,131722.517323,219631.911048,593948.355787,337853.304697
2046,131722.517323,215913.7986,582054.775114,332095.237924
2047,131722.517323,212282.829425,570439.950282,326472.125862
2048,131014.34393,208028.787667,558389.174417,320272.632049
2049,131014.34393,204566.025604,547312.414227,314910.014469
2050,131014.34393,201184.42203,536495.265615,309673.083244
2051,131014.34393,197882.074793,525931.643936,304558.892601
2052,131014.34393,194657.126307,515615.607099,299564.565781
2053,131014.34393,191507.762577,505541.352457,294687.293535
2054,131014.34393,188432.212039,495703.213092,289924.332326
2055,131014.34393,185428.744718,486095.655125,285273.003023
2056,131014.34393,182495.671164,476713.274302,280730.689252
2057,131014.34393,179631.341512,467550.793001,276294.835947
2058,131014.34393,176834.144613,458603.057439,271962.947995
2059,131014.34393,174102.506995,449865.034363,267732.588634
2060,131014.34393,171434.892125,441331.808674,263601.378306
2061,131014.34393,168829.7995,432998.580531,259566.993254
2062,131014.34393,166285.763713,424860.662356,255627.164069
2063,131014.34393,163801.353771,416913.47666,251779.674642
2064,131014.34393,161375.172194,409152.55315,248022.360758
2065,131014.34393,159005.854269,401573.526353,244353.108951
2066,131014.34393,156692.067178,394172.132822,240769.85515
2067,131014.34393,154432.509515,386944.209588,237270.583924
2068,131014.34393,152225.910216,379885.690746,233853.32684
2069,131014.34393,150071.02811,372992.606012,230516.161754
2070,131014.34393,147966.651047,366261.077927,227257.211463
