year,Base case cost,Modeled diesel efficiency
2019,80232.7093638,217793.895175
2020,85896.1947307,219547.477564
2021,89860.6344875,219836.044306
2022,92692.3771709,219172.592755
2023,94267.5737422,217442.711623
2024,95957.6298452,215891.354747
2025,98023.253971,214753.793011
2026,100464.44612,214028.330237
2027,102530.070246,213030.459038
2028,104407.91036,211929.274606
2029,106093.980715,210719.573816
2030,107588.262134,209399.796626
2031,110016.469439,208991.813616
2032,112631.461921,208814.934783
2033,115246.454404,208697.918726
2034,118048.232063,208809.167113
2035,119729.298659,207958.676831
2036,122531.076319,208182.766333
2037,123547.918223,206838.631846
2038,126520.499714,207325.611247
