year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,201828
2004,,0,0,0,0,0,232052
2005,,0,0,0,0,0,249985
2006,,0,0,0,0,0,242667
2007,,0,0,0,0,0,286739
2008,,0,0,0,0,0,303739
2009,,0,0,0,0,0,290356
2010,,0,0,993,0,0,256595
2011,,0,0,660,0,0,236642
2012,,0,0,0,0,0,244920
2013,,0,0,0,0,0,206884
2014,start of forecast,0,0,40997,0,0,190003
2015,,0,0,40997,0,0,190003
2016,,0,0,40997,0,0,190003
2017,,0,0,40997,0,0,189003
2018,,0,0,40997,0,0,189003
2019,,0,0,40997,0,0,189003
2020,,0,0,40997,0,0,189003
2021,,0,0,40997,0,0,189003
2022,,0,0,40997,0,0,189003
2023,,0,0,40997,0,0,188003
2024,,0,0,40997,0,0,188003
2025,,0,0,40997,0,0,188003
2026,,0,0,40997,0,0,188003
2027,,0,0,40997,0,0,188003
2028,,0,0,40997,0,0,188003
2029,,0,0,40997,0,0,187003
2030,,0,0,40997,0,0,187003
2031,,0,0,40997,0,0,187003
2032,,0,0,40997,0,0,187003
2033,,0,0,40997,0,0,187003
2034,,0,0,40997,0,0,187003
2035,,0,0,40997,0,0,187003
2036,,0,0,40997,0,0,187003
2037,,0,0,40997,0,0,186003
2038,,0,0,40997,0,0,186003
2039,,0,0,40997,0,0,186003
2040,,0,0,40997,0,0,186003
