year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,14128.49,1619475.0,0.0,1619475.0
2004,,14128.49,1505784.0,0.0,1505784.0
2005,,14128.49,1422779.0,0.0,1422779.0
2006,,14128.49,1438318.0,0.0,1438318.0
2007,,14128.49,1376229.0,0.0,1376229.0
2008,,14128.49,1458459.0,0.0,1458459.0
2009,,14128.49,1409993.0,0.0,1409993.0
2010,,14128.49,1287701.0,0.0,1287701.0
2011,,14128.49,1298122.0,0.0,1298122.0
2012,,14128.49,1289600.0,0.0,1289600.0
2013,,14128.49,1248000.0,0.0,1248000.0
2014,start of forecast,14128.49,1267000.0,3207.0,1263793.0
2015,,14128.49,1267000.0,3207.0,1263793.0
2016,,14128.49,1266000.0,3207.0,1262793.0
2017,,14128.49,1266000.0,3207.0,1262793.0
2018,,14128.49,1265000.0,3207.0,1261793.0
2019,,14128.49,1266000.0,3207.0,1262793.0
2020,,14128.49,1266000.0,3207.0,1262793.0
2021,,14128.49,1266000.0,3207.0,1262793.0
2022,,14128.49,1266000.0,3207.0,1262793.0
2023,,14128.49,1267000.0,3207.0,1263793.0
2024,,14128.49,1268000.0,3207.0,1264793.0
2025,,14128.49,1268000.0,3207.0,1264793.0
2026,,14128.49,1269000.0,3207.0,1265793.0
2027,,14128.49,1270000.0,3207.0,1266793.0
2028,,14128.49,1271000.0,3207.0,1267793.0
2029,,14128.49,1274000.0,3207.0,1270793.0
2030,,14128.49,1276000.0,3207.0,1272793.0
2031,,14128.49,1278000.0,3207.0,1274793.0
2032,,14128.49,1279000.0,3207.0,1275793.0
2033,,14128.49,1279000.0,3207.0,1275793.0
2034,,14128.49,1280000.0,3207.0,1276793.0
2035,,14128.49,1281000.0,3207.0,1277793.0
2036,,14128.49,1283000.0,3207.0,1279793.0
2037,,14128.49,1285000.0,3207.0,1281793.0
2038,,14128.49,1287000.0,3207.0,1283793.0
2039,,14128.49,1288000.0,3207.0,1284793.0
2040,,14128.49,1289000.0,3207.0,1285793.0
