year,Base case diesel consumed,Modeled wind power
2019,96642.1676963,79287.5609179
2020,96642.1676963,79287.5609179
2021,96642.1676963,79287.5609179
2022,96642.1676963,79287.5609179
2023,96718.6981868,79364.0914085
2024,96795.2286773,79440.621899
2025,96795.2286773,79440.621899
2026,96871.7591678,79517.1523895
2027,96948.2896583,79593.68288
2028,97024.8201488,79670.2133705
2029,97254.4116203,79899.804842
2030,97407.4726013,80052.865823
2031,97560.5335823,80205.926804
2032,97637.0640728,80282.4572945
2033,97637.0640728,80282.4572945
2034,97713.5945633,80358.987785
2035,97790.1250539,80435.5182755
2036,97943.1860349,80588.5792565
2037,98096.2470159,80741.6402375
2038,98249.3079969,80894.7012186
