year,Base case diesel consumed,Modeled diesel efficiency
2019,96642.1676963,87856.5160875
2020,96642.1676963,87856.5160875
2021,96642.1676963,87856.5160875
2022,96642.1676963,87856.5160875
2023,96718.6981868,87926.0892607
2024,96795.2286773,87995.6624339
2025,96795.2286773,87995.6624339
2026,96871.7591678,88065.2356071
2027,96948.2896583,88134.8087803
2028,97024.8201488,88204.3819535
2029,97254.4116203,88413.101473
2030,97407.4726013,88552.2478194
2031,97560.5335823,88691.3941658
2032,97637.0640728,88760.9673389
2033,97637.0640728,88760.9673389
2034,97713.5945633,88830.5405121
2035,97790.1250539,88900.1136853
2036,97943.1860349,89039.2600317
2037,98096.2470159,89178.4063781
2038,98249.3079969,89317.5527244
