year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,10045.83,692000.0,692000.0
2004,,10045.83,658000.0,658000.0
2005,,10045.83,632000.0,632000.0
2006,,10045.83,628000.0,628000.0
2007,,10045.83,665330.0,665330.0
2008,,10045.83,563000.0,563000.0
2009,,10045.83,584000.0,584000.0
2010,,10045.83,615000.0,615000.0
2011,,10045.83,631000.0,631000.0
2012,,10045.83,275400.0,275400.0
2013,,10045.83,740307.0,740307.0
2014,,10045.83,658400.0,658400.0
2015,,10045.83,638400.0,638400.0
2016,start of forecast,10045.83,635000.0,635000.0
2017,,10045.83,637000.0,637000.0
2018,,10045.83,640000.0,640000.0
2019,,10045.83,642000.0,642000.0
2020,,10045.83,644000.0,644000.0
2021,,10045.83,646000.0,646000.0
2022,,10045.83,648000.0,648000.0
2023,,10045.83,649000.0,649000.0
2024,,10045.83,650000.0,650000.0
2025,,10045.83,652000.0,652000.0
2026,,10045.83,654000.0,654000.0
2027,,10045.83,657000.0,657000.0
2028,,10045.83,660000.0,660000.0
2029,,10045.83,663000.0,663000.0
2030,,10045.83,665000.0,665000.0
2031,,10045.83,668000.0,668000.0
2032,,10045.83,671000.0,671000.0
2033,,10045.83,673000.0,673000.0
2034,,10045.83,675000.0,675000.0
2035,,10045.83,677000.0,677000.0
2036,,10045.83,680000.0,680000.0
2037,,10045.83,682000.0,682000.0
2038,,10045.83,684000.0,684000.0
2039,,10045.83,686000.0,686000.0
2040,,10045.83,687000.0,687000.0
