year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,68111.9,8997.4,70625.03,29044.39
2018,68432.68,8992.96,70625.03,29044.39
2019,68646.53,8989.93,70625.03,29044.39
2020,68860.38,8986.37,70625.03,29044.39
2021,69074.23,8982.94,70625.03,29761.4
2022,69288.09,8980.29,70625.03,29761.4
2023,69395.01,8978.46,70625.03,29761.4
2024,69501.94,8976.41,70625.03,29761.4
2025,69715.79,8974.15,70625.03,29761.4
2026,69929.64,8970.58,70625.03,29761.4
2027,70250.42,8966.12,70625.03,30478.41
2028,70571.2,8961.76,70625.03,30478.41
2029,70891.98,8957.71,70625.03,30478.41
2030,71105.83,8953.48,70625.03,30478.41
2031,71426.61,8949.47,70625.03,31195.43
2032,71747.39,,,31195.43
2033,71961.24,,,31195.43
2034,72175.09,,,31195.43
2035,72388.94,,,31195.43
2036,72709.72,,,31912.44
