year,Base case cost,Modeled biomass for heat (cordwood)
2017,391385.521031,400816.896566
2018,419742.721031,420712.357584
2019,458024.941031,447982.086306
2020,475748.191031,460055.141598
2021,487800.001031,467953.65588
2022,497016.091031,473776.618997
2023,503396.461031,477523.468101
2024,509067.901031,480768.32819
2025,514739.341031,484035.554034
2026,522537.571031,488899.296094
2027,528917.941031,492734.584702
2028,533880.451031,495540.919942
2029,540969.751031,499942.271371
2030,545223.331031,502263.92138
2031,553021.561031,507229.428349
2032,,
2033,,
2034,,
2035,,
2036,,
