year,Base case diesel consumed,Modeled solar power (pv)
2016,67898.0481257,66662.7628917
2017,68111.9002458,66886.4972937
2018,68432.6784259,67217.0786974
2019,68646.530546,67440.6556153
2020,68860.382666,67664.1547349
2021,69074.2347861,67887.5766784
2022,69288.0869062,68110.9220633
2023,69395.0129662,68227.2654421
2024,69501.9390263,68343.5334823
2025,69715.7911464,68566.6528468
2026,69929.6432665,68789.6980733
2027,70250.4214466,69119.5958149
2028,70571.1996267,69449.4206001
2029,70891.9778068,69779.1730124
2030,71105.8299269,70001.9275709
2031,71426.608107,70331.5369698
2032,71747.3862871,70661.0757191
2033,71961.2384072,70883.6183237
2034,72175.0905273,71106.0914044
2035,72388.9426474,71328.4955175
