year,Base case cost,Modeled water and wastewater efficiency
2017,69271.9244785,56010.4670945
2018,74209.0392003,59144.5404024
2019,80875.6226506,63454.2820181
2020,83959.9577058,65343.4744982
2021,86056.2276811,66568.3010561
2022,87659.102466,67463.1830158
2023,88768.7251432,68028.0282811
2024,89754.602294,68513.641018
2025,90740.2327536,69003.5461041
2026,92094.9150832,69748.5299665
2027,93201.6660251,70330.343364
2028,94061.4895651,70748.8897957
2029,95291.8514112,71422.2018057
2030,96028.1516553,71764.8196438
2031,97381.7280518,72529.261979
