year,Base case diesel consumed,Modeled diesel efficiency
2019,68646.530546,62405.93686
2020,68860.382666,62600.3478782
2021,69074.2347861,62794.7588965
2022,69288.0869062,62989.1699147
2023,69395.0129662,63086.3754239
2024,69501.9390263,63183.580933
2025,69715.7911464,63377.9919512
2026,69929.6432665,63572.4029695
2027,70250.4214466,63864.0194969
2028,70571.1996267,64155.6360243
2029,70891.9778068,64447.2525517
2030,71105.8299269,64641.6635699
2031,71426.608107,64933.2800973
2032,71747.3862871,65224.8966247
2033,71961.2384072,65419.3076429
2034,72175.0905273,65613.7186612
2035,72388.9426474,65808.1296794
2036,72709.7208275,66099.7462068
2037,72923.5729476,66294.1572251
2038,73137.4250677,66488.5682433
