year,Base case cost,Brevig mission water system heat recovery
2019,1167789.30063,1146604.05144
2020,1217551.58566,1192703.89446
2021,1256418.24025,1228680.15677
2022,1288734.01528,1258580.14144
2023,1309832.04495,1277587.92147
2024,1333187.71998,1299178.21254
2025,1361603.16457,1325558.99969
2026,1392770.37916,1354570.00959
2027,1419332.61375,1379298.97357
2028,1446144.44834,1404303.11774
2029,1475738.85249,1431966.44209
2030,1507836.97114,1462454.61609
2031,1540638.85573,1493225.26943
2032,1566307.86583,1516886.3133
2033,1599715.53086,1548308.73187
2034,1636124.42589,1582606.19769
2035,1662225.00092,1607210.49076
2036,1691520.86102,1634437.74832
2037,1718070.75605,1659533.1843
2038,1755777.49108,1695212.15948
