year,Base case diesel consumed,Brevig mission water system heat recovery
2019,228998.0,214161.0
2020,231493.0,216656.0
2021,233989.0,219152.0
2022,236484.0,221647.0
2023,237738.0,222901.0
2024,240233.0,225396.0
2025,242729.0,227892.0
2026,245225.0,230388.0
2027,247721.0,232884.0
2028,250217.0,235380.0
2029,252714.0,237877.0
2030,256454.0,241617.0
2031,258950.0,244113.0
2032,260203.0,245366.0
2033,262698.0,247861.0
2034,265193.0,250356.0
2035,267688.0,252851.0
2036,268941.0,254104.0
2037,271436.0,256599.0
2038,273931.0,259094.0
