year,Base case cost,Modeled solar power
2020,275989.528611,286497.815697
2021,290049.984562,300145.084771
2022,301550.776971,311280.346003
2023,311199.646911,320597.496481
2024,318925.820273,328024.969669
2025,328834.195272,337616.787992
2026,340177.2204,348638.261349
2027,349316.664214,357488.265681
2028,358818.825327,366707.892217
2029,369788.811933,377389.965652
2030,378703.400511,386047.495705
2031,390828.62697,397886.115101
2032,402604.406274,409381.974214
2033,414535.003938,421039.192396
2034,427499.935689,433725.491602
2035,436256.019756,442255.618271
2036,449798.202818,455531.549098
2037,459060.764089,464579.524888
2038,472918.481712,478182.839186
2039,483033.28119,488082.725091
