year,Base case diesel consumed,Modeled wind power
2019,97388.1203376,55701.3666846
2020,98567.6887898,56880.9351369
2021,99673.5342138,57986.7805608
2022,100853.102666,59166.3490131
2023,102032.671118,60345.9174653
2024,103212.23957,61525.4859175
2025,104391.808023,62705.0543698
2026,105645.099503,63958.3458503
2027,106824.667955,65137.9143025
2028,108077.959436,66391.205783
2029,109404.973945,67718.2202918
2030,110731.988453,69045.2348005
2031,111985.279934,70298.526281
2032,113091.125358,71404.371705
2033,114196.970782,72510.217129
2034,115229.093178,73542.3395247
2035,116334.938602,74648.1849486
2036,117440.784026,75754.0303726
2037,118620.352478,76933.5988248
2038,119726.197902,78039.4442488
