year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,837832
2004,,0,0,0,0,0,890250
2005,,0,0,0,0,0,921988
2006,,0,0,0,0,0,926374
2007,,0,0,0,0,0,954901
2008,,0,0,0,0,0,1025065
2009,,0,0,0,0,0,1137041
2010,,0,0,0,0,0,1207506
2011,,0,0,0,0,0,1228862
2012,,0,0,0,0,0,1237412
2013,,0,0,0,0,0,1156613
2014,start of forecast,0,0,0,0,0,1247000
2015,,0,0,0,0,0,1261000
2016,,0,0,0,0,0,1276000
2017,,0,0,0,0,0,1291000
2018,,0,0,0,0,0,1306000
2019,,0,0,0,0,0,1321000
2020,,0,0,0,0,0,1337000
2021,,0,0,0,0,0,1352000
2022,,0,0,0,0,0,1368000
2023,,0,0,0,0,0,1384000
2024,,0,0,0,0,0,1400000
2025,,0,0,0,0,0,1416000
2026,,0,0,0,0,0,1433000
2027,,0,0,0,0,0,1449000
2028,,0,0,0,0,0,1466000
2029,,0,0,0,0,0,1484000
2030,,0,0,0,0,0,1502000
2031,,0,0,0,0,0,1519000
2032,,0,0,0,0,0,1534000
2033,,0,0,0,0,0,1549000
2034,,0,0,0,0,0,1563000
2035,,0,0,0,0,0,1578000
2036,,0,0,0,0,0,1593000
2037,,0,0,0,0,0,1609000
2038,,0,0,0,0,0,1624000
2039,,0,0,0,0,0,1638000
2040,,0,0,0,0,0,1652000
