year,Base case diesel consumed,Modeled solar power
2020,98567.6887898,97263.9370082
2021,99673.5342138,98380.2124465
2022,100853.102666,99570.1274728
2023,102032.671118,100759.959727
2024,103212.23957,101949.70987
2025,104391.808023,103139.37856
2026,105645.099503,104402.689476
2027,106824.667955,105592.197208
2028,108077.959436,106855.348455
2029,109404.973945,108192.143852
2030,110731.988453,109528.861001
2031,111985.279934,110791.777501
2032,113091.125358,111907.170945
2033,114196.970782,113022.488004
2034,115229.093178,114064.006262
2035,116334.938602,115179.172381
2036,117440.784026,116294.263935
2037,118620.352478,117483.004548
2038,119726.197902,118597.948755
2039,120758.320297,119639.097144
