year,Base case diesel consumed,Modeled wind power
2019,87812.5236838,51824.5919006
2020,88669.9283088,52681.9965257
2021,89527.3329339,53539.4011508
2022,90384.737559,54396.8057758
2023,91242.142184,55254.2104009
2024,92099.5468091,56111.615026
2025,93028.4018196,57040.4700365
2026,93885.8064447,57897.8746615
2027,94814.6614551,58826.729672
2028,95743.5164656,59755.5846825
2029,96743.8218615,60755.8900784
2030,97672.676872,61684.7450889
2031,98601.5318825,62613.6000994
2032,99458.9365076,63471.0047244
2033,100244.890747,64256.9589641
2034,101030.844987,65042.9132037
2035,101888.249612,65900.3178288
2036,102674.203852,66686.2720684
2037,103531.608477,67543.6766935
2038,104389.013102,68401.0813186
