year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.96
2001,,,2.13
2004,,1.57,2.93
2005,,1.72,2.93
2006,,1.85,4.8
2008,,3.05,5.49
2009,,3.97,7.0
2010,,2.96,4.64
2011,,2.42,4.78
2012,,2.64,4.88
2013,,3.82,5.35
2014,,2.42,5.43
2016,start of forecast,1.73,4.19
2017,,2.06,4.52
2018,,2.31,4.77
2019,,2.64,5.1
2020,,2.8,5.26
2021,,2.91,5.37
2022,,2.99,5.45
2023,,3.05,5.51
2024,,3.09,5.55
2025,,3.15,5.61
2026,,3.22,5.68
2027,,3.27,5.73
2028,,3.32,5.78
2029,,3.38,5.84
2030,,3.42,5.88
2031,,3.49,5.95
2032,,3.56,6.02
2033,,3.63,6.09
2034,,3.71,6.17
2035,,3.75,6.21
2036,,3.83,6.29
2037,,3.87,6.33
2038,,3.95,6.41
2039,,4.0,6.46
2040,,4.09,6.55
